LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.416, Time: 3.268713 s
         1497901 function calls (1481118 primitive calls) in 5.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      440    0.001    0.000    0.004    0.000 enum.py:1561(__and__)
     4584    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
      627    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
    72/12    0.000    0.000    0.003    0.000 core.py:4490(parseImpl)
   129/61    0.000    0.000    0.003    0.000 core.py:4331(copy)
        1    0.000    0.000    0.003    0.003 tz.py:1(<module>)
        1    0.000    0.000    0.003    0.003 layout_engine.py:1(<module>)
     5448    0.002    0.000    0.003    0.000 _parser.py:261(get)
       15    0.000    0.000    0.003    0.000 core.py:669(set_parse_action)
      356    0.001    0.000    0.003    0.000 inspect.py:801(_finddoc)
       19    0.000    0.000    0.003    0.000 rcsetup.py:677(cycler)
       19    0.000    0.000    0.003    0.000 core.py:257(_trim_arity)
    32311    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
    12000    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
       24    0.001    0.000    0.003    0.000 util.py:222(_collapse_string_to_ranges)
     5470    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 traceback.py:221(extract_stack)
        1    0.000    0.000    0.003    0.003 traceback.py:377(extract)
      176    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
     1236    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 traceback.py:399(_extract_from_extended_frame_gen)
    85/30    0.000    0.000    0.003    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.003    0.003 _type_check_impl.py:1(<module>)
 1345/423    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      216    0.000    0.000    0.003    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.003    0.002 hashlib.py:82(__get_builtin_constructor)
       67    0.003    0.000    0.003    0.000 colors.py:1134(reversed)
    85/30    0.000    0.000    0.003    0.000 typing.py:1355(_make_substitution)
        7    0.000    0.000    0.003    0.000 enum.py:862(_create_)
        4    0.000    0.000    0.003    0.001 traceback.py:318(line)
      688    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        2    0.000    0.000    0.003    0.002 linecache.py:26(getline)
        2    0.000    0.000    0.003    0.002 linecache.py:36(getlines)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
       15    0.000    0.000    0.003    0.000 core.py:1734(__or__)
        1    0.000    0.000    0.003    0.003 linecache.py:83(updatecache)
        1    0.000    0.000    0.003    0.003 colorbar.py:1(<module>)
       13    0.001    0.000    0.003    0.000 typing.py:1855(__new__)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
     1589    0.001    0.000    0.003    0.000 typing.py:1215(__setattr__)
       15    0.000    0.000    0.003    0.000 core.py:4723(__init__)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
        1    0.000    0.000    0.003    0.003 font_manager.py:1625(_load_fontmanager)
     1236    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      592    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.003    0.003 ImageMode.py:1(<module>)
        7    0.000    0.000    0.003    0.000 core.py:3109(__init__)
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
 1699/193    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      236    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
       51    0.001    0.000    0.003    0.000 _linalg.py:266(_assert_finite)
        1    0.000    0.000    0.003    0.003 _util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _afm.py:1(<module>)
      509    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
        1    0.000    0.000    0.003    0.003 struct.py:1(<module>)
    10366    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
       44    0.000    0.000    0.003    0.000 core.py:4728(<genexpr>)
      340    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.003    0.003 axes3d.py:41(Axes3D)
 1699/193    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      541    0.000    0.000    0.002    0.000 __init__.py:164(match)
        1    0.000    0.000    0.002    0.002 font_manager.py:1030(json_load)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
        8    0.001    0.000    0.002    0.000 enum.py:1707(convert_class)
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
      296    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.002    0.002 actions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _tripcolor.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:390(ParserElement)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 path.py:1(<module>)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:3328(prod)
     9130    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      790    0.002    0.000    0.002    0.000 inspect.py:754(unwrap)
      450    0.000    0.000    0.002    0.000 __init__.py:179(sub)
      599    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
       40    0.000    0.000    0.002    0.000 getlimits.py:113(_float_to_str)
      310    0.001    0.000    0.002    0.000 function_base.py:486(add_newdoc)
        1    0.000    0.000    0.002    0.002 _twodim_base_impl.py:1(<module>)
        1    0.001    0.001    0.002    0.002 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 contextvars.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
