LebwohlLasher_vectorised.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.841, Time: 1.843726 s
         346239 function calls (343897 primitive calls) in 2.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      142    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      408    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      265    0.000    0.000    0.000    0.000 overrides.py:107(array_function_dispatch)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      329    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      122    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      255    0.000    0.000    0.000    0.000 einsumfunc.py:1049(_einsum_dispatcher)
        1    0.000    0.000    0.000    0.000 typing.py:738(_make_union)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       24    0.000    0.000    0.000    0.000 numerictypes.py:594(_scalar_type_key)
        6    0.000    0.000    0.000    0.000 numeric.py:2739(extend_all)
      135    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      129    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       54    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       21    0.000    0.000    0.000    0.000 overrides.py:24(get_array_function_like_doc)
       27    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       51    0.000    0.000    0.000    0.000 _linalg.py:256(_assert_stacked_square)
      240    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
      329    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
